iter	Passed	Remaining
0	62	9314
1	64	4757
2	65	3205
3	66	2420
4	68	1972
5	69	1666
6	70	1448
7	72	1284
8	73	1152
9	74	1048
10	75	957
11	76	884
12	78	822
13	79	768
14	80	722
15	82	687
16	82	647
17	83	615
18	85	587
19	86	561
20	87	538
21	88	516
22	89	496
23	91	477
24	92	462
25	94	448
26	95	435
27	97	424
28	98	411
29	100	400
30	101	389
31	102	379
32	104	370
33	106	361
34	107	354
35	109	347
36	111	341
37	113	335
38	115	327
39	117	321
40	118	314
41	119	308
42	121	301
43	124	298
44	126	294
45	128	289
46	129	284
47	131	279
48	134	276
49	135	270
50	136	265
51	138	260
52	140	256
53	141	252
54	143	248
55	145	243
56	146	239
57	148	235
58	150	231
59	151	227
60	153	223
61	155	220
62	156	216
63	158	213
64	160	210
65	162	206
66	163	202
67	165	199
68	166	195
69	168	192
70	170	189
71	171	185
72	173	182
73	174	179
74	176	176
75	178	173
76	179	170
77	180	167
78	182	163
79	183	160
80	184	157
81	186	154
82	187	151
83	189	148
84	190	145
85	193	144
86	195	141
87	196	138
88	198	136
89	200	133
90	202	131
91	203	128
92	205	125
93	206	123
94	208	120
95	210	118
96	211	115
97	214	113
98	215	111
99	217	108
100	218	106
101	220	103
102	221	101
103	223	98
104	224	96
105	226	93
106	227	91
107	229	89
108	230	86
109	232	84
110	233	82
111	235	79
112	236	77
113	238	75
114	240	73
115	241	70
116	243	68
117	244	66
118	246	64
119	247	61
120	249	59
121	251	57
122	253	55
123	255	53
124	256	51
125	258	49
126	259	46
127	260	44
128	261	42
129	263	40
130	264	38
131	266	36
132	268	34
133	270	32
134	271	30
135	273	28
136	274	26
137	275	23
138	277	21
139	278	19
140	280	17
141	282	15
142	284	13
143	286	11
144	287	9
145	289	7
146	290	5
147	292	3
148	293	1
149	295	0
